id,raw_title,raw_description,raw_price,source_url
1,[现货] Arc'teryx Beta LT Jacket Black Sapphire dark blue,全新现货 Arc'teryx Beta LT Jacket Black Sapphire dark blue EU- 100% authentic poizon verified,2028 CNY,https://dewu.com/item/77827638
2,ESSENTIALS FEAR OF GOD HOODIE - Stretch Limo (black),Essentials Fear of God Hoodie Stretch Limo black | новые в коробке | размер M | Сток из материкового Китая,326 CNY,https://dewu.com/item/38898923
3,PRADA RE-EDITION 2005 NYLON - Black (black),全新现货 Prada Re-Edition 2005 Nylon Black black EU- 100% authentic poizon verified,42788 RUB,https://dewu.com/item/20576383
4,The North Face Nuptse 700 Fill TNF Black,"The North Face Nuptse 700 Fill TNF Black black | новые в коробке | размер L | Комплект полный: коробка, запасные шнурки, чек",1253元,https://dewu.com/item/31831063
5,Yeezy Slide Bone,В наличии Yeezy Slide Bone beige. women's. Размер US 8.5. Поставка из Китая через Dewu.,USD 205.66,https://dewu.com/item/53524491
6,AirPods Pro 2 USB-C,"AirPods Pro 2 USB-C (white). Отправка из Москвы, оригинал 100%, чек DEWU прилагается.",￥2977.00,https://dewu.com/item/63100814
7,[现货] Apple Watch Ultra 2 Titanium silver,Apple Watch Ultra 2 Titanium silver | новые в коробке | размер - | Проверка SneakerCheck пройдена,48862 RUB,https://dewu.com/item/58586340
8,Asics Gel-1130 Cream Pink,В наличии Asics Gel-1130 Cream Pink cream. мужская модель. Размер US 12.5. Поставка из Китая через Dewu.,40525 RUB,https://dewu.com/item/81016525
9,Salomon XT-6 'Phantom Black',"Salomon XT-6 Phantom Black (black). Отправка из Москвы, оригинал 100%, чек DEWU прилагается.",361.2$,https://dewu.com/item/77187530
10,Prada Re-Edition 2005 Nylon Black,Limited release Prada Re-Edition 2005 Nylon Black black. Box+tags. Shipped from Shanghai 24h.,87600 ₽,https://dewu.com/item/90388981
11,Jordan 4 Retro 'Bred',"Jordan 4 Retro Bred red | новые в коробке | размер EU38 | Носились пару раз, видимых дефектов нет",54950 руб.,https://dewu.com/item/27232410
12,PATAGONIA SYNCHILLA SNAP-T - Oatmeal (brown),"Patagonia Synchilla Snap-T Oatmeal brown | б/у в хорошем состоянии | размер M | Идеальное состояние, NIB",1829 CNY,https://dewu.com/item/40158366
13,[现货] Adidas Yeezy Boost 350 V2 Zebra black,"Adidas Yeezy Boost 350 V2 Zebra, цвет black. Размер EU38, состояние новые в коробке. В коробке, со всеми наклейками и бирками",1737 CNY,https://dewu.com/item/47376585
14,Patagonia Synchilla Snap-T Oatmeal | size M,"Мужские Patagonia Synchilla Snap-T Oatmeal цвет brown, размер EU - / US -. новые в коробке.",￥1967.00,https://dewu.com/item/57553014
15,Onitsuka Tiger Mexico 66 White Blue,"Onitsuka Tiger Mexico 66 White Blue, цвет blue. Размер EU45, состояние новые в коробке. Состояние 9.5/10",￥4079.00,https://dewu.com/item/28814949
16,Onitsuka Tiger Mexico 66 White Blue,"Мужские Onitsuka Tiger Mexico 66 White Blue цвет white, размер EU 42 / US 9.5. б/у в хорошем состоянии.",￥3471.00,https://dewu.com/item/74606833
17,ADIDAS SAMBA OG - Cloud White (black),Limited release Adidas Samba OG Cloud White black. Box+tags. Shipped from Shanghai 24h.,¥2532,https://dewu.com/item/87736262
18,Goyard St. Louis PM Tote Black,"Goyard St. Louis PM Tote Black, цвет black. Размер -, состояние новые в коробке. Доставка авиа из Шанхая 7-10 дней",$1002.12,https://dewu.com/item/34941004
19,Adidas Yeezy Boost 350 V2 Zebra | size EU41,Adidas Yeezy Boost 350 V2 Zebra white | б/у в хорошем состоянии | размер EU41 | Сток из материкового Китая,14188руб,https://dewu.com/item/44999379
20,Adidas Samba OG 'Cloud White',"Мужские Adidas Samba OG Cloud White цвет black, размер EU 41 / US 8.5. новые в коробке.",$117.32,https://dewu.com/item/82160068
21,[现货] Adidas Samba OG Cloud White black,"Adidas Samba OG Cloud White (black). Отправка из Москвы, оригинал 100%, чек DEWU прилагается.",32425руб,https://dewu.com/item/99038526
22,Nike Air Force 1 '07 Triple White | size EU42,В наличии Nike Air Force 1 '07 Triple White white. men's. Размер US 9.5. Поставка из Китая через Dewu.,40962руб,https://dewu.com/item/77834855
23,Stussy Basic Logo Tee 'Pigment Black',"Stussy Basic Logo Tee Pigment Black, цвет black. Размер S, состояние новые в коробке. Состояние 9.5/10",￥835.00,https://dewu.com/item/84045292
24,[现货] Comme des Garçons Play Tee White white,"Comme des Garçons Play Tee White, цвет white. Размер S, состояние б/у в хорошем состоянии. Сток из материкового Китая",906元,https://dewu.com/item/15354599
25,[现货] Apple Watch Ultra 2 Titanium silver,全新现货 Apple Watch Ultra 2 Titanium silver EU- 100% authentic poizon verified,USD 233.24,https://dewu.com/item/31810617
26,LV Pochette Métis Monogram,В наличии LV Pochette Métis Monogram brown. подходит и мужчинам и женщинам. Размер US -. Поставка из Китая через Dewu.,¥23951,https://dewu.com/item/61343880
27,[现货] Casio G-Shock GA-2100 Casioak black,Casio G-Shock GA-2100 Casioak black | б/у в хорошем состоянии | размер - | Состояние 9.5/10,7412 RUB,https://dewu.com/item/54058573
28,Salomon XT-6 Phantom Black | size EU42,"Salomon XT-6 Phantom Black (black). Отправка из Москвы, оригинал 100%, чек DEWU прилагается.",614.88$,https://dewu.com/item/15134794
29,Nike Air Force 1 '07 Triple White | size EU43,全新现货 Nike Air Force 1 '07 Triple White white EU43 100% authentic poizon verified,1578 CNY,https://dewu.com/item/58884978
30,Onitsuka Tiger Mexico 66 White Blue,Limited release Onitsuka Tiger Mexico 66 White Blue white. Box+tags. Shipped from Shanghai 24h.,44138 руб.,https://dewu.com/item/35748341
